model,param,value
logistic_hog,C,0.1
,class_weight,
,dual,False
,fit_intercept,True
,intercept_scaling,1
,l1_ratio,
,max_iter,2000
,multi_class,deprecated
,n_jobs,
,penalty,l2
,random_state,
,solver,lbfgs
,tol,0.0001
,verbose,0
,warm_start,False
logistic_sift,C,0.1
,class_weight,
,dual,False
,fit_intercept,True
,intercept_scaling,1
,l1_ratio,
,max_iter,2000
,multi_class,deprecated
,n_jobs,
,penalty,l2
,random_state,
,solver,lbfgs
,tol,0.0001
,verbose,0
,warm_start,False
logistic_flatten,C,10.0
,class_weight,
,dual,False
,fit_intercept,True
,intercept_scaling,1
,l1_ratio,
,max_iter,2000
,multi_class,deprecated
,n_jobs,
,penalty,l2
,random_state,
,solver,lbfgs
,tol,0.0001
,verbose,0
,warm_start,False
random_forest_flatten,bootstrap,True
,ccp_alpha,0.0
,class_weight,
,criterion,gini
,max_depth,20
,max_features,sqrt
,max_leaf_nodes,
,max_samples,
,min_impurity_decrease,0.0
,min_samples_leaf,1
,min_samples_split,2
,min_weight_fraction_leaf,0.0
,n_estimators,200
,n_jobs,
,oob_score,False
,random_state,
,verbose,0
,warm_start,False
random_forest_sift,bootstrap,True
,ccp_alpha,0.0
,class_weight,
,criterion,gini
,max_depth,10
,max_features,sqrt
,max_leaf_nodes,
,max_samples,
,min_impurity_decrease,0.0
,min_samples_leaf,1
,min_samples_split,2
,min_weight_fraction_leaf,0.0
,n_estimators,200
,n_jobs,
,oob_score,False
,random_state,
,verbose,0
,warm_start,False
random_forest_hog,bootstrap,True
,ccp_alpha,0.0
,class_weight,
,criterion,gini
,max_depth,
,max_features,sqrt
,max_leaf_nodes,
,max_samples,
,min_impurity_decrease,0.0
,min_samples_leaf,1
,min_samples_split,2
,min_weight_fraction_leaf,0.0
,n_estimators,200
,n_jobs,
,oob_score,False
,random_state,
,verbose,0
,warm_start,False
svm_hog,C,10.0
,break_ties,False
,cache_size,200
,class_weight,
,coef0,0.0
,decision_function_shape,ovr
,degree,3
,gamma,scale
,kernel,rbf
,max_iter,-1
,probability,False
,random_state,
,shrinking,True
,tol,0.001
,verbose,False
